,Data ora,Anno,Mese,Giorno,Ora,PDMM,PDMF
60,2021-01-03 12:00:00.290,2021,1,3,12,0.0014465508932887071,0.0035977511222064574
61,2021-01-03 13:00:00.295,2021,1,3,13,0.0014577931226813085,0.0036257119382420264
62,2021-01-03 14:00:00.300,2021,1,3,14,0.00144904273382688,0.0036039486380589334
63,2021-01-03 15:00:00.305,2021,1,3,15,0.0014169582000442922,0.003524150431195058
64,2021-01-03 16:00:00.310,2021,1,3,16,0.001440133561525222,0.0035817904237887476
65,2021-01-03 17:00:00.315,2021,1,3,17,0.0016313248357102794,0.004057306787883991
66,2021-01-03 18:00:00.320,2021,1,3,18,0.0018120877670627755,0.0045068865725594095
67,2021-01-03 19:00:00.325,2021,1,3,19,0.0019638750759083897,0.004884400397527209
68,2021-01-03 20:00:00.330,2021,1,3,20,0.0019635278431053642,0.004883536786566442
69,2021-01-03 21:00:00.335,2021,1,3,21,0.0018402291450255624,0.004576877662825078
70,2021-01-03 22:00:00.340,2021,1,3,22,0.0015913051087074793,0.003957772773282278
71,2021-01-03 23:00:00.345,2021,1,3,23,0.001296097882585488,0.0032235558618750157
72,2021-01-04 00:00:00.350,2021,1,4,0,0.0010486072845780176,0.002608016110838263
73,2021-01-04 01:00:00.355,2021,1,4,1,0.0008838163534314951,0.002198160667650948
74,2021-01-04 02:00:00.360,2021,1,4,2,0.0007946723507572549,0.0019764484989694326
75,2021-01-04 03:00:00.365,2021,1,4,3,0.0007542900371635136,0.0018760126866359504
76,2021-01-04 04:00:00.370,2021,1,4,4,0.0007494819867322517,0.0018640544700844603
77,2021-01-04 05:00:00.375,2021,1,4,5,0.0008110345293650855,0.0020171432624383014
78,2021-01-04 06:00:00.380,2021,1,4,6,0.0010063499887455476,0.002502916985596261
79,2021-01-04 07:00:00.385,2021,1,4,7,0.0012949907234722244,0.004481042187302124
80,2021-01-04 08:00:00.390,2021,1,4,8,0.0013854129220423964,0.004484466687009666
81,2021-01-04 09:00:00.395,2021,1,4,9,0.0014203965422909914,0.004597705763316636
82,2021-01-04 10:00:00.400,2021,1,4,10,0.001400031513372415,0.0045317858543044475
83,2021-01-04 11:00:00.405,2021,1,4,11,0.0014000541147060886,0.004531859012946416
84,2021-01-04 12:00:00.410,2021,1,4,12,0.0014465508932887071,0.004682365227584304
85,2021-01-04 13:00:00.415,2021,1,4,13,0.0014577931226813085,0.004718755391409627
86,2021-01-04 14:00:00.420,2021,1,4,14,0.00144904273382688,0.004690431108669275
87,2021-01-04 15:00:00.425,2021,1,4,15,0.0014169582000442922,0.004586576134728265
88,2021-01-04 16:00:00.430,2021,1,4,16,0.001440133561525222,0.004661592857083809
89,2021-01-04 17:00:00.435,2021,1,4,17,0.0016313248357102794,0.0052804631493183025
90,2021-01-04 18:00:00.440,2021,1,4,18,0.0018120877670627755,0.00586557776099772
91,2021-01-04 19:00:00.445,2021,1,4,19,0.0019638750759083897,0.006795575370718403
92,2021-01-04 20:00:00.450,2021,1,4,20,0.0019635278431053642,0.006794373844861137
93,2021-01-04 21:00:00.455,2021,1,4,21,0.0018402291450255624,0.006367724713156472
94,2021-01-04 22:00:00.460,2021,1,4,22,0.0015913051087074793,0.005506375602342722
95,2021-01-04 23:00:00.465,2021,1,4,23,0.001296097882585488,0.0032235558618750157
96,2021-01-05 00:00:00.470,2021,1,5,0,0.0010486072845780176,0.002608016110838263
